date, pm25, pm10, o3, no2, so2, co
2025/1/9, 11, , 26, 8, , 
2025/1/10, 27, , 18, 11, , 
2025/1/11, 43, , 21, 5, , 
2025/1/12, 43, , 23, 8, , 
2025/1/13, 37, , 11, 14, , 
2025/1/14, 64, , 11, 15, , 
2025/1/15, 63, 7, 13, 8, , 
2025/1/16, 46, 12, 15, 4, , 
2025/1/17, 53, 18, 12, 7, , 
2025/1/18, 63, 21, 8, 13, , 
2025/1/19, 67, 29, 2, 16, , 
2025/1/20, 86, 31, 3, 15, , 
2025/1/21, 75, 18, 3, 14, , 
2025/1/22, 66, 11, 21, 12, , 
2025/1/23, 44, 8, 24, 13, , 
2025/1/24, 31, 17, 18, 15, , 
2025/1/25, 41, 9, 33, 7, , 
2025/1/26, 28, 11, 30, 13, , 
2025/1/27, 33, 3, 27, 7, , 
2025/1/28, 13, 13, 29, 7, , 
2025/1/29, 32, 16, 12, 19, , 
2025/1/30, 36, 5, 25, 6, , 
2025/1/31, 22, 9, 21, 7, , 
2025/2/1, 38, 16, 15, 5, , 
2025/2/2, 54, 16, 18, 5, , 
2025/2/3, 57, 17, 12, 7, , 
2025/2/4, 57, 21, 10, 15, , 
2025/2/5, 66, 23, 22, 7, , 
2025/2/6, 68, 16, 21, 5, , 
2025/2/7, 54, 28, 19, 11, , 
2025/2/8, 82, 45, 12, 13, , 
2025/2/9, 120, 45, 9, 12, , 
2025/2/10, 126, 29, 10, 10, , 
2025/2/11, 87, 18, 21, 11, , 
2025/2/12, 55, 6, 23, 7, , 
2025/2/13, 25, 19, 25, 6, , 
2025/2/14, 66, 22, 24, 5, , 
2025/2/15, 71, 11, 24, 3, , 
2025/2/16, 46, 18, 25, 6, , 
2025/2/17, 58, 27, 26, 10, , 
2025/2/18, 77, 22, 26, 7, , 
2025/2/19, 67, 35, 14, 16, , 
2025/2/20, 87, 24, 23, 12, , 
2025/2/21, 67, 39, 13, 14, , 
2025/2/22, 98, 17, 28, 9, , 
2025/2/23, 54, 15, 29, 12, , 
2025/2/24, 44, 11, 26, 8, , 
2025/2/25, 29, 3, 29, 2, , 
2025/2/26, 10, 6, 28, 7, , 
2025/2/27, 19, 7, 27, 9, , 
2025/2/28, 22, 12, 23, 6, , 
2025/3/1, 39, 10, 29, 4, , 
2025/3/2, 41, 15, 27, 10, , 
2025/3/3, 47, 27, 28, 15, , 
2025/3/4, 69, 31, 28, 17, , 
2025/3/5, 70, 34, 34, 17, , 
2025/3/6, 73, 32, 36, 17, , 
2025/3/7, 73, 26, 37, 15, , 
2025/3/8, 66, 22, 36, 13, , 
2025/3/9, 52, 28, 29, 16, , 
2025/3/10, 57, 14, 34, 10, , 
2025/3/11, 40, 26, 22, 12, , 
2025/3/12, 67, 10, 23, 6, , 
2025/3/13, 40, 8, 26, 5, , 
2025/3/14, 30, 11, 24, 2, , 
2025/3/15, 40, 9, 22, 3, , 
2025/3/16, 37, 11, 30, 4, , 
2025/3/17, 37, 8, 32, 4, , 
2025/3/18, 21, 24, 24, 12, , 
2025/3/19, 53, 20, 34, 12, , 
2025/3/20, 47, 16, 32, 9, , 
2025/3/21, 38, 26, 35, 6, , 
2025/3/22, 59, 17, 34, 5, , 
2025/3/23, 42, 10, 30, 9, , 
2025/3/24, 26, 15, 29, 8, , 
2025/3/25, 42, 16, 31, 5, , 
2025/3/26, 55, 11, 20, 4, , 
2025/3/27, 36, 15, 34, 7, , 
2025/3/28, 37, 24, 29, 6, , 
2025/3/29, 67, 12, 36, 3, , 
2025/3/30, 34, 7, 29, 3, , 
2025/3/31, 16, 10, 27, 3, , 
2024/10/1, 20, 9, 26, 5, , 
2024/10/2, 28, 11, 18, 4, , 
2024/10/3, 31, 8, 18, 5, , 
2024/10/4, 27, 8, 15, 3, , 
2024/10/5, 23, 8, 19, 2, , 
2024/10/6, 20, 7, 19, 5, , 
2024/10/7, 21, 13, 18, 6, , 
2024/10/8, 26, 6, 27, 4, , 
2024/10/9, 16, 5, 25, 4, , 
2024/10/10, 14, 4, 24, 4, , 
2024/10/11, 13, 11, 12, 5, , 
2024/10/12, 26, 6, 25, 3, , 
2024/10/13, 18, 11, 15, 7, , 
2024/10/14, 28, 18, 13, 5, , 
2024/10/15, 47, 12, 11, 3, , 
2024/10/16, 33, 18, 12, 7, , 
2024/10/17, 36, 24, 4, 8, , 
2024/10/18, 54, 18, 18, 5, , 
2024/10/19, 46, 24, 9, 4, , 
2024/10/20, 53, 20, 9, 5, , 
2024/10/21, 41, 14, 19, 6, , 
2024/10/22, 32, 15, 9, 5, , 
2024/10/23, 42, 10, 8, 4, , 
2024/10/24, 30, 15, 7, 4, , 
2024/10/25, 39, 20, 8, 4, , 
2024/10/26, 52, 16, 8, 4, , 
2024/10/27, 44, 18, 4, 6, , 
2024/10/28, 31, 11, 3, 7, , 
