date, pm25, pm10, o3, no2, so2, co
2025/6/12, 47, 18, , 10, , 
2025/6/13, 52, 19, , 16, , 
2025/6/14, 51, 24, , 16, , 
2025/6/15, 55, 15, , 19, , 
2025/6/16, 32, 12, , 9, , 
2025/6/17, 37, 20, , 25, , 
2025/6/18, 56, 24, , 19, , 
2025/6/19, 62, 12, , 9, , 
2025/6/20, 35, 13, , 8, , 
2025/6/21, 36, 19, , 21, , 
2025/6/22, 54, 22, , 23, , 
2025/6/23, 53, 14, , 20, , 
2025/6/24, 35, 22, , 31, , 
2025/6/25, 43, 24, , 26, , 
2025/6/26, 48, 14, , 20, , 
2025/6/27, 33, 13, , 18, , 
2025/6/28, 38, 15, , 19, , 
2025/6/29, 43, 18, , 16, , 
2025/6/30, 52, 15, , 15, , 
2025/1/1, 184, 13, , 12, , 
2025/1/2, 12, 10, , 17, , 
2025/1/3, 33, 12, , 16, , 
2025/1/4, 44, 12, , 20, , 
2025/1/5, 38, 15, , 29, , 
2025/1/6, 39, 15, , 17, , 
2025/1/7, 26, 10, , 20, , 
2025/1/8, 36, 9, , 17, , 
2025/1/9, 11, 15, , 21, , 
2025/1/10, 19, 21, , 19, , 
2025/1/11, 53, 24, , 16, , 
2025/1/12, 53, 17, , 14, , 
2025/1/13, 37, 28, , 20, , 
2025/1/14, 70, 30, , 23, , 
2025/1/15, 67, 14, , 12, , 
2025/1/16, 48, 11, , 9, , 
2025/1/17, 45, 19, , 12, , 
2025/1/18, 63, 30, , 17, , 
2025/1/19, 79, 44, , 23, , 
2025/1/20, 97, 51, , 20, , 
2025/1/21, 114, 33, , 18, , 
2025/1/22, 71, 16, , 22, , 
2025/1/23, 37, 34, , 28, , 
2025/1/24, 42, 37, , 27, , 
2025/1/25, 36, 26, , 19, , 
2025/1/26, 22, 33, , 23, , 
2025/1/27, 32, 9, , 23, , 
2025/1/28, 14, 17, , 20, , 
2025/1/29, 37, 31, , 25, , 
2025/1/30, 49, 15, , 16, , 
2025/1/31, 19, 14, , 13, , 
2025/2/1, 39, 16, , 10, , 
2025/2/2, 54, 19, , 15, , 
2025/2/3, 56, 24, , 17, , 
2025/2/4, 58, 31, , 20, , 
2025/2/5, 68, 26, , 11, , 
2025/2/6, 66, 18, , 11, , 
2025/2/7, 55, 32, , 19, , 
2025/2/8, 83, 51, , 21, , 
2025/2/9, 125, 54, , 19, , 
2025/2/10, 136, 39, , 17, , 
2025/2/11, 90, 20, , 23, , 
2025/2/12, 53, 7, , 21, , 
2025/2/13, 20, 27, , 19, , 
2025/2/14, 72, 32, , 12, , 
2025/2/15, 75, 14, , 8, , 
2025/2/16, 47, 23, , 13, , 
